"Year","Month","State","Primary Mode","Etiology","Serotype or Genotype","Etiology Status","Setting","Illnesses","Hospitalizations","Info On Hospitalizations","Deaths","Info On Deaths","Food Vehicle","Food Contaminated Ingredient","IFSAC Category","Water Exposure","Water Type","Animal Type"
"2011","7","Illinois","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","19","1","19","0","19",,,,,,
"2011","7","Illinois","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","4","1","4","0","4",,,,,,
"2011","7","Illinois","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","32","0","32","0","32",,,,,,
"2011","8","Georgia","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","7","0","7","0","7",,,,,,
"2011","8","California","Food","Norovirus unknown",,"Suspected","Restaurant: Sit-down dining","9","0","7","0","7",,,,,,
"2011","8","Arizona","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","4","0","2","0","2",,,,,,
"2011","9","Minnesota","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","9","0","9","0","9","salad bar",,,,,
"2011","9","Idaho","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","42","2","42","0","42",,,,,,
"2011","9","Illinois","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","15","0","15","0","15",,,,,,
"2011","9","Florida","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","7","0","7","0","7","rice, fried rice",,"Multiple",,,
"2011","9","Minnesota","Food","Norovirus Genogroup I",,"Confirmed","Restaurant: Sit-down dining","35","0","35","0","35","water;chicken, unspecified","chicken","Chicken",,,
"2011","9","Pennsylvania","Food","Norovirus",,"Confirmed","Restaurant: Sit-down dining","9","1","9","0","9",,,,,,
"2011","9","Washington","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","6","0","6","0","6","Vegetables",,"N/A",,,
"2011","9","North Dakota","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","6","1","6","0","6",,,,,,
"2011","10","California","Food","Norovirus unknown",,"Suspected","Restaurant: Fast-food (drive up service or pay at counter)","16","0","0","0","0","cake, carrot","frosting, cream cheese","Multiple",,,
"2011","10","Arizona","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","4","0","3","0","3",,,,,,
"2011","10","Tennessee","Food","Norovirus Genogroup II","GII.4 New Orleans","Suspected","Restaurant: Sit-down dining","6",,,,,,,,,,
"2011","10","Idaho","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","11","0","11","0","11",,,,,,
"2011","10","Oklahoma","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","60","0",,"0",,"pizza",,"Multiple",,,
"2011","10","Oregon","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","28","0","28","0","28","pasta salad",,"Multiple",,,
"2011","10","Washington","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","11","0","11","0","11",,,,,,
"2011","10","New Hampshire","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","15","0","15","0","15","ice cream, homemade",,"Multiple",,,
"2011","11","California","Food","Norovirus unknown",,"Suspected","Restaurant: Sit-down dining","3","0","3","0","3",,,,,,
"2011","11","Pennsylvania","Food","Norovirus Genogroup I",,"Suspected","Restaurant: Sit-down dining","9","0","1","0","1","oysters, raw","oysters","Mollusks",,,
"2011","11","Arizona","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","9","0","9","0","9",,,,,,
"2011","11","Arizona","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","2","0","2","0","2",,,,,,
"2011","11","California","Food","Norovirus unknown",,"Suspected","Restaurant: Fast-food (drive up service or pay at counter)","9","0","8","0","8",,,,,,
"2011","11","New York","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","38","0","38","0","38",,,,,,
"2011","11","New York","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","19","0","19","0","19",,,,,,
"2011","11","Minnesota","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","7","0","7","0","7","multiple foods",,,,,
"2011","11","Illinois","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","14","1","14","0","14",,,,,,
"2011","11","Minnesota","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","8","0","8","0","8",,,,,,
"2011","11","Minnesota","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","6","0","6","0","6","lettuce;cheese, unspecified","lettuce;cheese, unspecified","Multiple",,,
"2011","11","Tennessee","Food","Norovirus Genogroup II","GII.4 New Orleans","Confirmed","Restaurant: Fast-food (drive up service or pay at counter)","23","0","23","0","23",,,,,,
"2011","12","Arizona","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","5","0","4","0","4",,,,,,
"2011","12","Arizona","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","5","0","3","0","3",,,,,,
"2011","12","Georgia","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","32","0","32","0","32",,,,,,
"2011","12","New Jersey","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","30","0","29","0","29",,,,,,
"2011","12","Colorado","Food","Norovirus unknown",,"Confirmed","Restaurant: Sit-down dining","6","0","6","0","6",,,,,,
"2011","12","California","Food","Norovirus unknown",,"Suspected","Restaurant: Sit-down dining;Private home/residence","17","0","17","0","17","oysters, raw",,"Mollusks",,,
"2011","12","California","Food","Norovirus unknown",,"Suspected","Restaurant: Sit-down dining","6","0","6","0","6",,,,,,
"2011","12","New York","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","13","0","13","0","13",,,,,,
"2011","12","New Hampshire","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","4","0","4","0","4",,,,,,
"2011","12","Illinois","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","30","1","28","0","30",,,,,,
"2011","12","Illinois","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","11","0","11","0","11",,,,,,
"2011","12","New York","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","10","0","10","0","10",,,,,,
"2011","12","Nevada","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Fast-food (drive up service or pay at counter)","4","0","4","0","4",,,,,,
"2011","12","Minnesota","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","15","0","15","0","15",,,,,,
"2011","12","Minnesota","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","7","0","7","0","7",,,,,,
"2011","12","Minnesota","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","14","0","14","0","14",,,,,,
"2011","12","Connecticut","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","7","0","7","0","7",,,,,,
"2011","12","Ohio","Food","Norovirus Genogroup I","GI.6","Confirmed","Restaurant: Other","11","0","11","0","11","sandwich, submarine",,"Multiple",,,
"2011","12","Illinois","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Fast-food (drive up service or pay at counter)","6","1","6","0","6",,,,,,
"2011","12","Connecticut","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","4","0","4","0","4","Salads",,"Multiple",,,
"2011","12","Illinois","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","17","0","17","0","17",,,,,,
"2011","12","Washington","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","18","0","18","0","18",,,,,,
"2011","12","Tennessee","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","7","0","7","0","7",,,,,,
"2011","12","Minnesota","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","20","0","20","0","20",,,,,,
"2011","12","Oregon","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","9","0","9","0","9","menu items w/ lettuce","lettuce","Vegetable Row Crops",,,
"2011","12","California","Food","Staphylococcus aureus;Norovirus unknown",,"Suspected;Suspected","Restaurant: Other","49","0","49","0","49","ham, other;gravy",,"Multiple",,,
"2012","1","Illinois","Food","Norovirus Genogroup II","GII.4 New Orleans","Confirmed","Restaurant: Sit-down dining","196","2","196","0","196","Vegetables;green beans;coleslaw",,"Multiple",,,
"2012","1","Minnesota","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","21","0","21","0","21",,,,,,
"2012","1","Minnesota","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Fast-food (drive up service or pay at counter)","3","0","3","0","3",,,,,,
"2012","1","Minnesota","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","10","0","10","0","10",,,,,,
"2012","1","New Mexico","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","4","0","4","0","4",,,,,,
"2012","1","Virginia","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","7","0","7","0","7","coleslaw",,"Multiple",,,
"2012","1","New York","Food","Norovirus unknown",,"Suspected","Restaurant: Sit-down dining","4","0","4","0","4",,,,,,
"2012","1","New York","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","13","0","13","0","13",,,,,,
"2012","1","Virginia","Food","Norovirus unknown",,"Confirmed","Restaurant: Sit-down dining","15","0","15","0","15",,,,,,
"2012","1","Virginia","Food","Norovirus",,"Confirmed","Restaurant: Sit-down dining","3","0","3","0","3",,,,,,
"2012","1","New York","Food","Norovirus Genogroup I",,"Confirmed","Restaurant: Sit-down dining","14","0","14","0","14",,,,,,
"2012","1","Minnesota","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Fast-food (drive up service or pay at counter)","8","0","8","0","8",,,,,,
"2012","1","Kansas","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","6","0","0","0","6",,,,,,
"2012","1","Washington","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","9","1","9","0","9",,,,,,
"2012","1","Arizona","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","7","0","2","0","2",,,,,,
"2012","1","Florida","Food","Norovirus Genogroup I",,"Confirmed","Restaurant: Sit-down dining","141","0","141","0","141",,,,,,
"2012","1","Rhode Island","Food","Norovirus Genogroup II","GII.4 Den Haag","Confirmed","Restaurant: Sit-down dining","17","0","17","0","17",,,,,,
"2012","1","Washington","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","23","0","23","0","23",,,,,,
"2012","1","Delaware","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","5","0","5","0","5",,,,,,
"2012","1","California","Food","Norovirus unknown",,"Suspected","Restaurant: Sit-down dining;Private home/residence","8","0","8","0","8",,,,,,
"2012","1","New York","Food","Norovirus Genogroup I",,"Suspected","Restaurant: Sit-down dining","5","0","5","0","5",,,,,,
"2012","1","Florida","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","11","0","11","0","11",,,,,,
"2012","1","California","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","21","1","21","0","21","lettuce based salads",,"Multiple",,,
"2012","1","New Jersey","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","7","0","0","0","7",,,,,,
"2012","1","New Jersey","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Other","7","0","7","0","7",,,,,,
"2012","1","Wisconsin","Food","Norovirus Genogroup II","GII.2","Confirmed","Restaurant: Sit-down dining","28","0","0","0","28",,,,,,
"2012","2","Virginia","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","13","0","13","0","13",,,,,,
"2012","2","Illinois","Food","Norovirus Genogroup I",,"Confirmed","Restaurant: Sit-down dining","18","1","18","0","18",,,,,,
"2012","2","Virginia","Food","Norovirus",,"Confirmed","Restaurant: Sit-down dining","16","0","16","0","16",,,,,,
"2012","2","Illinois","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","9","0","9","0","9",,,,,,
"2012","2","Ohio","Food","Norovirus Genogroup II","GII.4 New Orleans","Confirmed","Restaurant: Sit-down dining","29","1","17","0","17",,,,,,
"2012","2","Minnesota","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","8","1","4","0","4","Garlic Toast;salad, unspecified;fish, haddock",,"Multiple",,,
"2012","2","New York","Food","Norovirus Genogroup II","GII.4 New Orleans","Confirmed","Restaurant: Sit-down dining","103","2","103","0","103","water;salad, unspecified;pizza, unspecified;ice;antipasto",,"Multiple",,,
"2012","2","Maryland","Food","Norovirus Genogroup II","GII.4 New Orleans","Confirmed","Restaurant: Sit-down dining","11","0","11","0","11",,,,,,
"2012","2","Ohio","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","2","0","2","0","2",,,,,,
"2012","2","Rhode Island","Food","Norovirus unknown",,"Suspected","Restaurant: Sit-down dining","7","0","7","0","7","house salad",,"Multiple",,,
"2012","2","Ohio","Food","Norovirus Genogroup II","GII.4 New Orleans","Confirmed","Restaurant: Other","29","1","29","0","29","ice","water","Other",,,
"2012","2","Oregon","Food","Norovirus Genogroup II","GII.1","Confirmed","Restaurant: Sit-down dining","8","0","8","0","8",,,,,,
"2012","2","South Carolina","Food","Norovirus Genogroup I;Norovirus Genogroup II","GII.4 New Orleans","Suspected;Suspected","Restaurant: Sit-down dining","58","1","58","0","58",,,,,,
"2012","2","Florida","Food","Norovirus unknown",,"Suspected","Restaurant: Sit-down dining","2","0","2","0","2","potato, baked",,"Root/Underground",,,
"2012","2","Florida","Food","Norovirus unknown",,"Suspected","Restaurant: Sit-down dining","4","1","4","0","4","salad, unspecified",,"Multiple",,,
"2012","2","California","Food","Norovirus unknown",,"Suspected","Restaurant: Fast-food (drive up service or pay at counter)","9","0","9","0","9",,,,,,
"2012","2","California","Food","Norovirus unknown",,"Suspected","Restaurant: Other","9","0","9","0","9","pastry, unspecified",,"Multiple",,,
"2012","2","California","Food","Norovirus unknown",,"Confirmed","Restaurant: Other","8","0","8","0","8",,,,,,
"2012","2","California","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","3","0","3","0","3",,,,,,
"2012","2","Arizona","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","5","0","2","0","2",,,,,,
"2012","2","New Jersey","Food","Norovirus",,"Suspected","Restaurant: Fast-food (drive up service or pay at counter)","9","0","9","0","9",,,,,,
"2012","3","Ohio","Food","Norovirus Genogroup II","GII.4 New Orleans","Confirmed","Restaurant: Sit-down dining","2","0","2","0","2",,,,,,
"2012","3","Minnesota","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","3","0","3","0","3",,,,,,
"2012","3","Minnesota","Food","Norovirus other",,"Confirmed","Restaurant: Sit-down dining","9","0","9","0","9","lettuce, unspecified","leaf lettuce","Vegetable Row Crops",,,
"2012","3","Virginia","Food","Norovirus",,"Confirmed","Restaurant: Fast-food (drive up service or pay at counter)","14","0","11","0","11","Italian sub;sandwich, submarine",,"Multiple",,,
"2012","3","Ohio","Food","Norovirus Genogroup II","GII.4 New Orleans","Suspected","Restaurant: Sit-down dining","12","2","2","0","0",,,,,,
"2012","3","Georgia","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","7","0","7","0","7",,,,,,
"2012","3","Florida","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Sit-down dining","10","0","10","0","10",,,,,,
"2012","3","Florida","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","15","1","15","0","15",,,,,,
"2012","3","Florida","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","2","2","2","0","2","noodles",,"Multiple",,,
"2012","3","Ohio","Food","Norovirus Genogroup II","GII.4 New Orleans","Confirmed","Restaurant: Sit-down dining","5","1","5","0","5","turkey wrap;walnut mandarin chicken salad",,"Multiple",,,
"2012","3","Massachusetts","Food","Norovirus",,"Confirmed","Restaurant: Sit-down dining","25","0","25","0","25",,,,,,
"2012","3","South Carolina","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","11","2","11","0","11",,,,,,
"2012","3","Massachusetts","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","9","0","9","0","9",,,,,,
"2012","3","Pennsylvania","Food","Norovirus",,"Confirmed","Restaurant: Other","25","0","25","0","25",,,,,,
"2012","3","Arizona","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","8","0","8","0","8",,,,,,
"2012","3","Wisconsin","Food","Norovirus Genogroup I","GI.6","Confirmed","Restaurant: Sit-down dining","6","0","6","0","6",,,,,,
"2012","4","Illinois","Food","Norovirus Genogroup II","GII.4 New Orleans","Confirmed","Restaurant: Sit-down dining","11","0","11","0","11",,,,,,
"2012","4","New York","Food","Norovirus Genogroup I",,"Confirmed","Restaurant: Sit-down dining","13","0","13","0","13",,,,,,
"2012","4","New York","Food","Norovirus Genogroup I",,"Confirmed","Restaurant: Sit-down dining","26","0","26","0","26","lettuce based salads",,"Multiple",,,
"2012","4","Ohio","Food","Norovirus Genogroup II","GII.4 New Orleans","Confirmed","Restaurant: Other","2","0","2","0","2",,,,,,
"2012","4","Connecticut","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Sit-down dining","4","0","4","0","4",,,,,,
"2012","4","Maryland","Food","Norovirus Genogroup II",,"Confirmed","Restaurant: Fast-food (drive up service or pay at counter)","7","0","7","0","7","salad, unspecified",,"Multiple",,,
"2012","4","Florida","Food","Norovirus",,"Suspected","Restaurant: Sit-down dining","6","0","6","0","6","turkey subs, hook & ladder sub",,"Multiple",,,
"2012","4","Ohio","Food","Norovirus Genogroup II","GII.6","Confirmed","Restaurant: Fast-food (drive up service or pay at counter)","6","0","6","0","6","Buffalo Chicken Salad",,"Multiple",,,
"2012","4","Minnesota","Food","Norovirus Genogroup II",,"Suspected","Restaurant: Fast-food (drive up service or pay at counter)","8","0","8","0","8",,,,,,
"2012","4","Ohio","Food","Norovirus Genogroup II","GII.1","Confirmed","Restaurant: Fast-food (drive up service or pay at counter)","5","0","5","0","5","pizza, unspecified",,"Multiple",,,
