"Year","Month","State","Primary.Mode","Etiology1","Etiology2","Etiology3","Etiology4","Etiology5","Etiology6","Serotype.or.Genotype","Status1","Status2","Status3","Status4","Status5","Status6","Setting","Illnesses","Hospitalizations","Info.On.Hospitalizations","Deaths","Info.On.Deaths","Food.Vehicle","Date"
2011,2,"Illinois","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",12,0,12,0,12,"",Feb 2011
2011,2,"California","Food","Norovirus unknown",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Other",14,0,14,0,14,"hummus",Feb 2011
2011,2,"Pennsylvania","Food","Norovirus",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",24,0,24,0,24,"garden salad",Feb 2011
2011,2,"Colorado","Food","Norovirus unknown",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Fast-food (drive up service or pay at counter)",3,0,3,0,3,"",Feb 2011
2011,2,"California","Food","Norovirus unknown",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Other",27,0,27,0,27,"salsa;cilantro, unspecified",Feb 2011
2011,2,"California","Food","Norovirus unknown",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Other",18,0,18,0,18,"coleslaw",Feb 2011
2011,3,"Alabama","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",18,2,18,0,18,"salsa;chips",Mar 2011
2011,3,"Minnesota","Food","Norovirus",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",5,0,5,0,5,"artichoke dip",Mar 2011
2011,3,"Florida","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",78,3,78,0,78,"shredded lettuce",Mar 2011
2011,3,"Florida","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",44,0,44,0,44,"",Mar 2011
2011,3,"California","Food","Norovirus unknown",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Other",8,0,8,0,8,"",Mar 2011
2011,3,"California","Food","Norovirus unknown",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",21,0,21,0,21,"",Mar 2011
2011,3,"Wisconsin","Environmental contamination other than food/water","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.3","Confirmed",NA,NA,NA,NA,NA,"Restaurant",51,0,51,0,51,"",Mar 2011
2011,4,"Alabama","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Fast-food (drive up service or pay at counter)",21,2,21,0,21,"lettuce",Apr 2011
2011,4,"Tennessee","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.4 New Orleans","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",3,0,3,0,3,"",Apr 2011
2011,4,"Maryland","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",6,0,6,0,6,"",Apr 2011
2011,4,"New York","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",9,0,9,0,9,"salad, unspecified;bread, unspecified",Apr 2011
2011,4,"Connecticut","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",3,0,3,0,3,"",Apr 2011
2011,4,"Minnesota","Food","Norovirus",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining;Banquet Facility (food prepared and served on-site)",61,0,61,0,61,"fruit",Apr 2011
2011,4,"Arizona","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",5,0,4,0,4,"",Apr 2011
2011,5,"New York","Food","Norovirus",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Other",20,0,20,0,20,"",May 2011
2011,5,"Minnesota","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",9,0,9,0,9,"",May 2011
2011,5,"Tennessee","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"GI.3","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",6,0,6,0,6,"",May 2011
2011,5,"Tennessee","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"GI.3","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Fast-food (drive up service or pay at counter)",5,0,5,0,5,"",May 2011
2011,5,"Arizona","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",8,0,6,0,6,"",May 2011
2011,5,"Colorado","Food","Norovirus unknown",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",5,0,5,0,5,"",May 2011
2011,5,"Arizona","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",8,0,6,0,6,"",May 2011
2011,5,"Colorado","Food","Norovirus unknown",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Fast-food (drive up service or pay at counter)",17,0,17,0,17,"",May 2011
2011,5,"New Jersey","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",42,1,42,0,42,"",May 2011
2011,6,"Virginia","Food","Norovirus",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Other",14,0,14,0,14,"",Jun 2011
2011,6,"Connecticut","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Banquet Facility (food prepared and served on-site);Restaurant: Sit-down dining",23,0,23,0,23,"garden salad",Jun 2011
2011,7,"Illinois","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Grocery store/bakery/deli/convenience store;Restaurant: Sit-down dining",8,0,8,0,8,"",Jul 2011
2011,7,"Illinois","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",4,1,4,0,4,"",Jul 2011
2011,7,"Illinois","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",32,0,32,0,32,"",Jul 2011
2011,8,"Georgia","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",7,0,7,0,7,"",Aug 2011
2011,8,"Arizona","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",4,0,2,0,2,"",Aug 2011
2011,9,"Minnesota","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",9,0,9,0,9,"salad bar",Sep 2011
2011,9,"Idaho","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",42,2,42,0,42,"",Sep 2011
2011,9,"Illinois","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",15,0,15,0,15,"",Sep 2011
2011,9,"Minnesota","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",35,0,35,0,35,"water;chicken, unspecified",Sep 2011
2011,9,"Pennsylvania","Food","Norovirus",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",9,1,9,0,9,"",Sep 2011
2011,9,"North Dakota","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",6,1,6,0,6,"",Sep 2011
2011,10,"Arizona","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",4,0,3,0,3,"",Oct 2011
2011,10,"Idaho","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",11,0,11,0,11,"",Oct 2011
2011,10,"Oregon","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",28,0,28,0,28,"pasta salad",Oct 2011
2011,11,"Arizona","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",9,0,9,0,9,"",Nov 2011
2011,11,"Arizona","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",2,0,2,0,2,"",Nov 2011
2011,11,"New York","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",19,0,19,0,19,"",Nov 2011
2011,11,"Illinois","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",14,1,14,0,14,"",Nov 2011
2011,11,"Tennessee","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.4 New Orleans","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Fast-food (drive up service or pay at counter)",23,0,23,0,23,"",Nov 2011
2011,12,"Arizona","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",5,0,4,0,4,"",Dec 2011
2011,12,"Arizona","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",5,0,3,0,3,"",Dec 2011
2011,12,"Georgia","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",32,0,32,0,32,"",Dec 2011
2011,12,"Colorado","Food","Norovirus unknown",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",6,0,6,0,6,"",Dec 2011
2011,12,"New York","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",13,0,13,0,13,"",Dec 2011
2011,12,"Illinois","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",11,0,11,0,11,"",Dec 2011
2011,12,"New York","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",10,0,10,0,10,"",Dec 2011
2011,12,"Nevada","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Fast-food (drive up service or pay at counter)",4,0,4,0,4,"",Dec 2011
2011,12,"Minnesota","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",14,0,14,0,14,"",Dec 2011
2011,12,"Connecticut","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",7,0,7,0,7,"",Dec 2011
2011,12,"Ohio","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"GI.6","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Other",11,0,11,0,11,"sandwich, submarine",Dec 2011
2011,12,"Illinois","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",17,0,17,0,17,"",Dec 2011
2011,12,"Minnesota","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",20,0,20,0,20,"",Dec 2011
2011,12,"Oregon","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",9,0,9,0,9,"menu items w/ lettuce",Dec 2011
2012,1,"Illinois","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.4 New Orleans","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",196,2,196,0,196,"Vegetables;green beans;coleslaw",Jan 2012
2012,1,"Minnesota","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",21,0,21,0,21,"",Jan 2012
2012,1,"Minnesota","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Fast-food (drive up service or pay at counter)",3,0,3,0,3,"",Jan 2012
2012,1,"Minnesota","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",10,0,10,0,10,"",Jan 2012
2012,1,"New Mexico","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",4,0,4,0,4,"",Jan 2012
2012,1,"Virginia","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",7,0,7,0,7,"coleslaw",Jan 2012
2012,1,"Virginia","Food","Norovirus unknown",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",15,0,15,0,15,"",Jan 2012
2012,1,"Virginia","Food","Norovirus",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",3,0,3,0,3,"",Jan 2012
2012,1,"New York","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",14,0,14,0,14,"",Jan 2012
2012,1,"Florida","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",141,0,141,0,141,"",Jan 2012
2012,1,"Rhode Island","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.4 Den Haag","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",17,0,17,0,17,"",Jan 2012
2012,1,"California","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",21,1,21,0,21,"lettuce based salads",Jan 2012
2012,1,"New Jersey","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Other",7,0,7,0,7,"",Jan 2012
2012,1,"Wisconsin","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.2","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",28,0,0,0,28,"",Jan 2012
2012,2,"Illinois","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",18,1,18,0,18,"",Feb 2012
2012,2,"Virginia","Food","Norovirus",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",16,0,16,0,16,"",Feb 2012
2012,2,"Illinois","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",9,0,9,0,9,"",Feb 2012
2012,2,"Ohio","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.4 New Orleans","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",29,1,17,0,17,"",Feb 2012
2012,2,"Minnesota","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",8,1,4,0,4,"Garlic Toast;salad, unspecified;fish, haddock",Feb 2012
2012,2,"New York","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.4 New Orleans","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",103,2,103,0,103,"water;salad, unspecified;pizza, unspecified;ice;antipasto",Feb 2012
2012,2,"Maryland","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.4 New Orleans","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",11,0,11,0,11,"",Feb 2012
2012,2,"Ohio","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.4 New Orleans","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Other",29,1,29,0,29,"ice",Feb 2012
2012,2,"Oregon","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.1","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",8,0,8,0,8,"",Feb 2012
2012,2,"California","Food","Norovirus unknown",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Other",8,0,8,0,8,"",Feb 2012
2012,2,"Arizona","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",5,0,2,0,2,"",Feb 2012
2012,3,"Ohio","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.4 New Orleans","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",2,0,2,0,2,"",Mar 2012
2012,3,"Minnesota","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",3,0,3,0,3,"",Mar 2012
2012,3,"Minnesota","Food","Norovirus other",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",9,0,9,0,9,"lettuce, unspecified",Mar 2012
2012,3,"Virginia","Food","Norovirus",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Fast-food (drive up service or pay at counter)",14,0,11,0,11,"Italian sub;sandwich, submarine",Mar 2012
2012,3,"Georgia","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",7,0,7,0,7,"",Mar 2012
2012,3,"Florida","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",2,2,2,0,2,"noodles",Mar 2012
2012,3,"Ohio","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.4 New Orleans","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",5,1,5,0,5,"turkey wrap;walnut mandarin chicken salad",Mar 2012
2012,3,"Massachusetts","Food","Norovirus",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",25,0,25,0,25,"",Mar 2012
2012,3,"South Carolina","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",11,2,11,0,11,"",Mar 2012
2012,3,"Massachusetts","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",9,0,9,0,9,"",Mar 2012
2012,3,"Pennsylvania","Food","Norovirus",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Other",25,0,25,0,25,"",Mar 2012
2012,3,"Arizona","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",8,0,8,0,8,"",Mar 2012
2012,3,"Wisconsin","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"GI.6","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",6,0,6,0,6,"",Mar 2012
2012,4,"Illinois","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.4 New Orleans","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",11,0,11,0,11,"",Apr 2012
2012,4,"New York","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",13,0,13,0,13,"",Apr 2012
2012,4,"New York","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",26,0,26,0,26,"lettuce based salads",Apr 2012
2012,4,"Ohio","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.4 New Orleans","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Other",2,0,2,0,2,"",Apr 2012
2012,4,"Connecticut","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",4,0,4,0,4,"",Apr 2012
2012,4,"Maryland","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Fast-food (drive up service or pay at counter)",7,0,7,0,7,"salad, unspecified",Apr 2012
2012,4,"Ohio","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.6","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Fast-food (drive up service or pay at counter)",6,0,6,0,6,"Buffalo Chicken Salad",Apr 2012
2012,4,"Ohio","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.1","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Fast-food (drive up service or pay at counter)",5,0,5,0,5,"pizza, unspecified",Apr 2012
2012,4,"Michigan","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.1","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",5,0,5,0,5,"",Apr 2012
2012,4,"New Jersey","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",7,0,7,0,7,"",Apr 2012
2012,4,"Wisconsin","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"unknown","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",11,0,11,0,11,"",Apr 2012
2012,5,"Ohio","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.4 New Orleans","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",6,0,6,0,6,"",May 2012
2012,5,"Ohio","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.6","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",9,0,9,0,9,"",May 2012
2012,5,"New York","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",15,0,15,0,15,"",May 2012
2012,5,"Illinois","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.6","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Fast-food (drive up service or pay at counter)",18,0,18,0,18,"",May 2012
2012,5,"Hawaii","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.4 Sydney","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Fast-food (drive up service or pay at counter)",6,0,6,0,6,"sandwich, turkey;sandwich, ham",May 2012
2012,5,"Wisconsin","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"GI.6","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",6,0,6,0,6,"",May 2012
2012,5,"Virginia","Food","Norovirus",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",24,1,24,0,24,"",May 2012
2012,6,"Illinois","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"GI.6","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",7,0,7,0,7,"",Jun 2012
2012,6,"New York","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",15,0,15,0,15,"rice, fried rice",Jun 2012
2012,6,"Ohio","Food","Norovirus Genogroup II",NA,NA,NA,NA,NA,"GII.1","Confirmed",NA,NA,NA,NA,NA,"Private home/residence;Restaurant: Sit-down dining",14,1,14,0,14,"",Jun 2012
2012,6,"Arizona","Food","Norovirus Genogroup I",NA,NA,NA,NA,NA,"","Confirmed",NA,NA,NA,NA,NA,"Restaurant: Sit-down dining",3,0,2,0,2,"",Jun 2012
